ticker,epochs_actual,epochs_max,RMSE,MAE,MAPE
BTC-USD,150,150,2116.646564289777,1517.197164486994,2.1955593814695256
ETH-USD,140,150,107.51894220064173,76.50164196879516,2.4830880172329652
SOL-USD,150,150,6.924130035197603,5.227861196190503,3.3038876536356976
